Start,End,Name,Text
593570,598850,Jacob,the game we were playing where you're in a boat and you're rowing and then like a swamp witch and
600020,603190,Jacob,keeps coming up and trying to get you. -Does that bramble?
601380,602290,Julia,Oh
603190,604170,Julia,Yeah
607850,609670,Jacob,That's not going to happen in this one
608760,609690,Julia,I hear something
632550,634110,Jacob,Isn't there like nothing out here?
636890,638780,Jacob,I'm trying to remember from my
639890,641920,Julia,"Well, we're going to discover that together"
657910,659500,Julia,Just rowing forever
661150,663010,Jacob,I keep hearing little sounds
662940,665370,Julia,"Yeah, it's actually very interesting"
689930,692140,Jacob,"Go towards the light, James"
692880,696510,Jacob,"Do not row parallel to the light, you'll never get there"
698110,700270,Julia,We were going towards it and then it sh
701690,702130,Julia,Oh
734600,735590,Julia,Is my wife here?
736280,737880,Julia,Did my wife row a boat?
740200,742480,Jacob,"She could never rowboat, her arms are too weak"
743610,744420,Julia,She's a woman
749970,752920,Julia,"James must suspect that his wife's not actually here, right?"
754740,758390,Jacob,"Well, at this point, he's been through a lot of supernatural stuff that he is"
758540,759420,Julia,That's true
759010,760990,Jacob,"completely disregarded, so"
761110,762460,Julia,That's a good point
762570,765540,Jacob,"I think he's too in it, he's too lost in the sauce"
765540,769360,Julia,"Yeah, he just has to keep hoping that he can make amends, I guess"
770570,775580,Julia,"It's like, see, I was a good husband, I never gave up. -I followed through on my promise"
778720,780970,Julia,to stand by your
782770,783030,Jacob,No
783840,784490,Jacob,Spend money
786790,788410,Jacob,These waters will bring you peace!
788970,790420,Jacob,Fifteen dollars for the day
792560,795040,Julia,Fifteen dollars to hold to hang? Pretty nice
795190,797570,Jacob,"Yeah, but how long realistically am I going to"
798330,799630,Jacob,be rowing around out there
799530,801220,Julia,"Well, you can take it to go fishing"
803070,806080,Jacob,"You could take it to Go Vision, count me out"
807310,813330,Julia,I actually like fishing. -I like sitting on a boat. -I don't like the act of
814010,815360,Julia,herding of fish
815730,818190,Jacob,"No, I will sit on the boat, that's for sure"
817500,818350,Julia,"Yeah, yeah"
819930,820740,Jacob,Puddle
820810,824280,Julia,I like that you can see the building more clearly in the puddle than you can
824280,825580,Jacob,That is interesting
825900,827370,Julia,Like there's someone there
828270,829090,Julia,Or is that a phone?
829100,831150,Jacob,I think it's a... a false
831150,832100,Julia,Affonse
834120,836860,Julia,Falls! Falls!
839120,840840,Julia,Let's see if there's anything over here
844740,847170,Jacob,Very well landscaped over here
847350,850290,Julia,"It's beautiful, flowers are thriving"
850420,851980,Jacob,"Well, it's very humid, so"
852060,854750,Julia,That's true
857550,861900,Jacob,Is there a way to make the achievement volume louder?
863570,866080,Julia,I feel like I wasn't notified clearly enough
866090,868430,Jacob,I'd really like to crank that up if I could
868430,872620,Julia,"I can still hear other things, so I feel like"
874730,876430,Julia,I feel like we can make it louder
883740,885790,Julia,"Oh, it's my flashlight. I thought I saw a little"
886910,894180,Jacob,"Dude, put me right there in those two chairs, not those, left those. -That's me and you right there"
894180,895630,Julia,"Oh yeah, 100%"
895360,896870,Jacob,Absolutely chilling
896870,903510,Julia,"and then we're like, oh, this is amazing, and then we put in an order for food, and then we start being slightly inconvenienced by bugs"
903510,906650,Jacob,"Yeah, and then we're like, never mind, outside was a mistake"
908090,909100,Julia,"Wait, what?"
910250,911230,Jacob,No items
915270,916320,Jacob,They got the
916270,917670,Julia,How does this chain work?
917670,920200,Jacob,"It's lots of different chains, OK?"
920090,923220,Julia,"No, it's like all linked together, is one chain"
924560,925050,Julia,Cacao!
929160,934060,Jacob,"As the cold draws near, they abandon their old nests to return in time"
934700,935580,Julia,Hmm
936120,937450,Julia,That's James right there
943960,944440,Julia,Oh
947070,948270,Jacob,Rotten apple
948270,950020,Julia,I'm really glad that the
950830,951660,Julia,Sound effect half
951610,952920,Jacob,Made like a squish
952670,953310,Julia,Yeah
955100,958980,Julia,"I'm the rotten apple, it's me. Oh yeah, put that in your pocket"
957830,958150,Jacob,Do you
958750,960650,Jacob,"James, why are you keeping that, bro?"
960650,964480,Julia,"Because it's gross, he only deserves the grossest things, okay?"
964480,968360,Jacob,"I was going to say you should throw that thing as hard as you can against a tree, it's really fun"
969950,974840,Jacob,"Lone one of the east, out of the water safety now lost out of breath"
979280,981260,Jacob,Why'd you go out of the water? You're a fish
982400,984480,Julia,Lone one of the east
986610,991230,Julia,"I can't loan the east, that's too big. -And I don't own it"
989850,992500,Jacob,This has got to be some Puzz shit
992990,994490,Julia,"Yeah, oh yeah"
994490,996060,Jacob,This is some major puz
999260,1000920,Julia,I hear peeing
1002490,1003500,Julia,Pianus
1005560,1006370,Julia,I hear it
1008000,1011730,Julia,"I know there's another statue, I'm going to go towards the piano in the interest of"
1012590,1013620,Julia,Welcome back
1014350,1015730,Julia,they knew I was here before
1018670,1021770,Jacob,They've been waiting for you. Is that a leather jacket?
1024540,1025170,Julia,Sure is
1025170,1025910,Jacob,It's like a
1025910,1026520,Julia,Buddy?
1026510,1027970,Jacob,cool white leather jacket
1027970,1028760,Julia,Yeah
1029230,1031630,Jacob,Is that Mary's jacket? She had a cool ass jacket
1032690,1035290,Julia,"Uh, Mary was wearing... red"
1036940,1039020,Jacob,"Well, yeah, she took off the jacket and left it here"
1039760,1041030,Julia,"Oh, yeah"
1041030,1042510,Jacob,"Oh, waiting for you"
1045280,1046380,Jacob,312
1049840,1051020,Julia,That's my birthday
1053380,1054380,Julia,How'd she know?
1056520,1057580,Jacob,She's your wife
1058630,1059560,Jacob,That's how
1061360,1063100,Julia,"Do you know what my birthday is, Jacob?"
1064890,1067200,Jacob,"Do I know what your birthday is, the one you just said?"
1070780,1072920,Julia,"Yeah, do you know?"
1072920,1075670,Jacob,"If I didn't know before, I definitely do now"
1075670,1077020,Julia,"Well, what is it then?"
1077020,1078740,Jacob,"Oh shit, oh no"
1079230,1080330,Julia,"Oh my God, it's the same"
1082200,1085050,Jacob,"No, I told you, I've got the perfect mnemonic device for your birthday"
1085050,1086080,Julia,"Okay, what is it?"
1086080,1087490,Jacob,March one two
1087920,1090030,Julia,"Oh, okay, how'd you know?"
1090930,1091400,Julia,I just
1091400,1096400,Jacob,"I'll never forget because it's like someone marching. -They're like, march, one, two, one, two"
1097420,1098590,Jacob,I'll never forget
1099150,1105190,Julia,"Well, I super remembered your birthday after you pointed out that it's-- -That it's 69"
1102840,1104240,Jacob,That it's 6'9
1107090,1108750,Julia,"Oh, the rotten apple didn't work here"
1108750,1110350,Jacob,"Yeah, it's a hard one to forget"
1110350,1111650,Julia,Look at this good ceiling
1111650,1113350,Jacob,That is a good ceiling
1113570,1124240,Julia,Do you know that ceilings like that were originally in the Duomo and it was a way of making a domed ceiling that was lighter?
1125840,1127140,Jacob,like lighter in weight
1128050,1130570,Julia,So that it wouldn't collapse under its own weight
1130570,1131310,Jacob,Yeah
1131290,1134630,Julia,"So they made this, they invented that kind of ceiling for that building"
1135970,1137640,Julia,"Well, let's investigate the piano"
1138500,1142380,Jacob,"You ever noticed how if you say Duomo, it sounds like you're doing baby voice?"
1142380,1143240,Julia,Yeah
1142950,1143980,Jacob,Dwellmo
1144880,1146600,Jacob,Do you want to go to the Duomo?
1147020,1147700,Julia,Yeah
1147700,1149250,Jacob,I want to see the Duomo
1149250,1150930,Julia,I'm going to probably
1150290,1152180,Jacob,"OK, fine"
1154510,1155470,Jacob,Dwellmo
1158530,1159710,Julia,Do we think it's
1160670,1161450,Julia,Maria?
1163080,1163860,Julia,Hello?
1164740,1167740,Jacob,"I want you to know that if a cut scene started, I would stop talking"
1168130,1169890,Julia,"Well, I didn't want to cut you off"
1171130,1172330,Jacob,Intermezzo
1173650,1175400,Jacob,Johanes Brahms
1176650,1177680,Julia,Grames
1177680,1181360,Jacob,"I had no good way to mispronounce Brahms, it's spelled exactly like it sounds"
1180820,1182270,Julia,The Hames!
1182740,1185760,Jacob,"I said no good way to mispronounce it, oh"
1186730,1188840,Julia,Someone disagrees with you
1189410,1189870,Julia,Laura?
1190120,1190780,Jacob,Yeah
1190780,1191380,Julia,You did
1193050,1198880,Julia,"Laura's like, James is like, oh God. -Someone else to trauma dump on me"
1199580,1203210,Julia,"Then again, maybe you're not so bad, just"
1204340,1206390,Julia,Annoying. -That's fair
1207570,1208020,Julia,So
1219750,1222230,Julia,I think you've had enough... for now
1222890,1223530,Jacob,Wow
1224380,1228290,Julia,That's reassuring
1228910,1229840,Julia,She's here
1230550,1231280,Julia,Isn't she?
1232850,1234280,Julia,"Come on, tell me"
1235820,1236810,Jacob,I wish I knew
1237940,1238530,Julia,But
1239730,1241060,Julia,She said it in her letter
1245940,1247290,Julia,So there really is a letter
1249130,1249870,Julia,Oh
1250700,1251390,Julia,Yeah
1252500,1253310,Julia,Wanna read it?
1256220,1256980,Julia,Just
1257840,1259260,Julia,"Don't tell Rachel, OK?"
1259320,1261260,Jacob,Just says fuck you in it
1261750,1262820,Julia,She's our nurse
1263760,1264620,Julia,I
1265620,1266460,Julia,I took it from her locker
1316650,1317020,Julia,
1318540,1319010,Julia,I love you
1354460,1355170,Julia,All right
1357350,1358160,Jacob,How old are you?
1360880,1361570,Julia,Last week
1365530,1366180,Jacob,"Yeah, I mean"
1385460,1387320,Julia,"James, think about it like a little harder"
1390360,1392030,Julia,She even showed me all her pictures
1394100,1395600,Julia,She really wanted to come back
1397020,1399670,Julia,"She also talks a lot about you, you know?"
1400770,1401510,Julia,Seven
1404230,1404850,Jacob,What?
1406140,1406980,Jacob,What is it?
1408230,1408830,Julia,Well
1409810,1411370,Julia,It kind of was his other letter
1412290,1413590,Julia,I think the warmer's for you
1422420,1423530,Julia,Wanted to
1424290,1426250,Julia,"This one time, I almost dead"
1427530,1428760,Julia,You didn't deserve to have it
1430280,1430620,Julia,But then
1438940,1439480,Julia,Yeah
1448590,1450430,Julia,Just says I know what you did last summer
1451720,1452760,Jacob,three years ago
1452760,1455020,Julia,"three years ago, last, last, last summer"
1455630,1456360,Julia,It's empty
1457540,1461060,Julia,Get rekt
1464340,1465060,Julia,Wait
1465250,1465530,Jacob,Sit down
1469820,1470330,Julia,I gotta find it
1471040,1471580,Jacob,Laura!
1479590,1480400,Julia,Well
1481650,1491350,Jacob,"I did love the person in chat who was saying,  James, honey, you jumped into your own grave and ended up outside of a lake house. Like think about it a little bit"
1491350,1495340,Julia,"Yeah, yeah, ads are going to start soon, so we might as well just like"
1495400,1502310,Jacob,But James is not experiencing things in a lucid state of mind. He's in like a psychedelic dream dimension
1502310,1503520,Julia,"Yeah, yeah"
1503880,1509830,Jacob,"I mean, it's like when you're having a dream, everything makes sense to you even though it's all nonsense"
1510220,1511220,Julia,Yeah
1511220,1513140,Jacob,That's kind of what James is experiencing
1513140,1514610,Julia,I'm going to run the ads
1514680,1517210,Jacob,",OK, you don't want me to talk this stream, I get it"
1517810,1519050,Julia,"Ellie, you just have bad timing"
1518890,1523310,Jacob,"Every time I start talking, you're like, -let's have you stop talking"
1520160,1522070,Julia,I just said I was going to run the ad
1523280,1525850,Julia,And then you went on
1525410,1528610,Jacob,Let's have you stop talking and then we can do something else
1528530,1531450,Julia,I said I was going to run the ads and then you just wouldn't shut the fuck up
1535300,1538820,Jacob,I just thought we could have like a moment of conversation while we waited for the ads to start
1539620,1544730,Jacob,I thought we could kind of digest what was happening in the game and the story for a second
1544000,1545620,Julia,"No, I like it"
1545620,1546920,Jacob,Clearly you didn't like it
1546870,1548140,Julia,I just like
1549710,1555820,Julia,"With these last streams of games, it's always like we can go a little long, so I'm just trying to like"
1556340,1559480,Julia,play the game and do the yapping at the same time
1559410,1563360,Jacob,"Oh, I'm sorry, I thought we were enjoying ourselves on stream"
1562520,1564270,Julia,Of being efficient
1564190,1568560,Jacob,I thought we were having a nice time talking to each other in the chat
1568560,1574090,Julia,"We keep getting comments that are like, this is not the optimal way to play the game"
1574770,1576840,Julia,"Today, optimal"
1576810,1578940,Jacob,"Optimal, we're locking in"
1577420,1577940,Julia,Optimal!
1580720,1585620,Jacob,"We're speed running the rest of this. -If you skip the cut scenes, it goes a lot faster actually"
1585470,1586560,Julia,"Oh, we might as well"
1586340,1587170,Jacob,Yeah
1587240,1588330,Julia,Just finish it
1589130,1592860,Jacob,Somebody asked me to talk about the new Elden Ring
1589230,1590330,Julia,Who cares about the story?
1593470,1596130,Jacob,"I think it looks super sick, I'm really excited about it"
1598070,1599660,Jacob,it's pretty much just like
1601560,1608200,Jacob,"It looks like they're just like,  how can we take all this shit we made and then put it in a package that's just like maximum fun?"
1608200,1609260,Julia,Yeah
1609510,1615200,Jacob,get your friends together and let's fucking speed run Elden Ring
1615200,1616060,Julia,Yeah
1615890,1616750,Jacob,And
1617650,1620600,Jacob,and fight bosses from like the whole Souls series
1620680,1621810,Julia,Yeah
1622590,1625160,Jacob,I'm psyched about it. I think it's going to be a really good time
1630390,1645170,Jacob,"Yeah, as my mistake said,  hey, people modded our game, let's do it ourselves, actually, that's exactly what I said to Julia. I was like, clearly they looked at all of the top mods that everyone loved for Elden Ring and they were like, let's just take all the top mods and put all of them into one game"
1635430,1636210,Julia,"Yeah, that is"
1646270,1649150,Julia,"Yeah, the other thing that we were talking about, not to like"
1650060,1652040,Julia,bring down the hype
1652040,1653250,Jacob,"Oh, here we go"
1654770,1656860,Jacob,She's going to tell me to stop talking again
1657400,1660860,Julia,"but I really got to play this game, so I appreciate if you can lock the fuck in"
1661910,1663550,Julia,"No, um"
1664120,1672030,Julia,"It's that I love, so there's like a thing that happens on the internet and the internet's like a big place, so you're going to get a lot of"
1673370,1685770,Julia,"viewpoints and stuff like that, and then it's easy to cherry pick the worst ones and then say that's everyone. But we were laughing about the comments that were like, but my favorite part about Elden Ring isn't represented here, and it's like, so play Elden Ring"
1687070,1688270,Julia,Play that part
1688240,1707460,Jacob,"Yeah, I was mainly going on a complaint rant to Julia about how there's a lot of people that watch YouTube game trailers and they seem to have no ability to extrapolate from what they saw in the trailer into what the game will be like. -And so I saw a lot of comments that were like,"
1705040,1705670,Julia,Yeah
1707980,1723880,Jacob,"Well, what I love about the Souls games is the slow exploration of these areas and like slowly discovering things and playing by myself. But then they say, and I'm worried this new game is not going to have that. And I'm like, it's not going to have that. Did you watch the trailer?"
1716280,1717130,Julia,So do I
1723880,1725850,Julia,"Yeah, that's not what they're going for, dog"
1724650,1735690,Jacob,"We don't have to guess if it's going to have it. It's literally just like, look at what you saw and tell what kind of game it is. Like, I don't know what you're talking about"
1735690,1736600,Julia,Yeah
1737730,1739150,Julia,It's like
1741340,1742690,Julia,"Yeah, I don't know"
1743350,1747090,Julia,"It's just like I understand where people are coming from, like I"
1748460,1758600,Julia,",Well, like, I think that if you're a very particular kind of Zelda fan, and this is related, you like some of the games, but not the other games, and then if you're another kind of fan, you love, you know"
1759350,1764340,Julia,"the other games more than the first kind of games and it's like, but it's like kind of"
1765440,1769810,Julia,"They're playing around with it, you know? It's fun, it's a toy"
1770740,1773400,Julia,",Something for everyone, what's on your nose?"
1773590,1776540,Jacob,And I wanted to draw attention also to the fact that
1776590,1777890,Julia,Can I get it off your nose?
1779230,1783270,Jacob,I also saw people complaining about like asset reuse in the game
1784250,1798090,Jacob,"And the first thing I thought of was like, -you better not be one of those motherfuckers who's like, -Majora's Mask is my favorite game or Fallout New Vegas is my favorite game. -If you're then going to come in here and be like, they're reusing assets, I'll kill you"
1793080,1793800,Julia,Yeah
1798650,1806930,Jacob,Some of the best games ever made are from reused assets which freed up the devs to make some of their best and most exciting and interesting work
1807270,1807930,Julia,Yeah
1807840,1813140,Jacob,"They have so much time to do other stuff. And they already made all these high quality assets, why would you not use them?"
1814270,1815200,Julia,Yeah
1815350,1816530,Jacob,"Sorry, go ahead, James"
1823270,1824500,Jacob,"Go ahead, James, get it"
1824500,1826100,Julia,Is it Mary's theme?
1827710,1828330,Julia,Right?
1844360,1845120,Julia,Yeah
1846150,1847640,Julia,"I like that, that's fun"
1847920,1851840,Jacob,This game's unrealistic because he didn't immediately play the rugrats theme
1852500,1856040,Jacob,"On piano, that's the one you play if you don't know how to play piano"
1858540,1859430,Julia,Yeah
1861290,1862000,Julia,I'm
1864590,1866320,Julia,trying to remember the rubber ass theme
1866380,1875060,Jacob,"Dun dun dun dun dun dun, dun dun dun dun dun, dun dun dun dun dun, dun dun dun dun dun, dun dun dun dun dun"
1868390,1868880,Julia,Oh
1870260,1870860,Julia,"Yeah, yeah"
1876900,1894020,Julia,"Laura, it's cool, I don't deserve letters from my dead wife, it's okay. Also, I did like in chat, and this is not a call out because this game is very confusing and a lot of things are not literal, but someone was like, oh, Mary's actually dead, and I was like, yeah, yeah"
1894020,1894820,Jacob,Yeah
1894720,1898770,Julia,"Yeah, yeah, no, she's dead for real"
1899170,1901530,Jacob,"She been dead, she done been dead"
1900290,1901350,Julia,She been dead
1904100,1905420,Julia,"Oh, there's a save point"
1906280,1907240,Julia,Don't mind if I do
1911140,1915200,Julia,"but again, I completely understand why there's some confusion"
1916170,1922510,Jacob,",Mr. James Sunderland, regarding the videotape you left in your room during your last stay, ew, gross, icky,"
1922510,1925360,Julia,"Ewe, ewe, ewe, I watched it"
1923250,1924430,Jacob,"Ew, ew, ew"
1925040,1926590,Jacob,Why did you leave that there?
1926390,1927460,Julia,Gross
1927460,1936420,Jacob,I'm glad to inform you that we've recovered the item and moved it to the employee section on the first floor. The tape is stored within the hotel safe to be returned to you at your earliest convenience. Please pick it up
1937240,1940330,Jacob,"Now, I don't want it here anymore"
1942410,1943930,Julia,I do not want it
1946250,1947430,Jacob,Music books
1947440,1948500,Julia,There's the
1948430,1949610,Jacob,312
1949610,1950690,Julia,You're 12
1955690,1957440,Julia,Someone said spoilers
1959670,1964760,Julia,"Listen, we jumped into our own grave and wound up at a lake"
1968930,1969980,Julia,Mary's dead
1969980,1972680,Jacob,You go jump into your own grave and see what happens
1980000,1981810,Jacob,"Well, well, what the fuck?"
1983610,1984160,Julia,"Oh, you know"
1984160,1986010,Jacob,What the hell kind of contraption is this?
1986010,1987970,Julia,"It's a music box, you dumbass"
1987970,1989320,Jacob,"No, it isn't"
1997620,1998630,Julia,"Oh, and dusty"
2000590,2001330,Julia,Give me this
2002560,2003220,Julia,Oh
2004070,2004490,Julia,",Mm"
2004490,2006330,Jacob,That's a staff only room
2006330,2007830,Julia,"Oh, yeah, that's why I can't go home"
2014560,2016180,Julia,"102, we'll take that"
2022000,2024300,Julia,"Well, the hotel needs renovations anyway"
2024980,2027440,Jacob,Break on through to the other side
2028080,2030530,Julia,I like that they definitely wanted me to follow
2031070,2032530,Julia,"Laura, and I was like,"
2033060,2034370,Julia,time to look for items
2037310,2039550,Jacob,What Laura doesn't realize is that we're gaming
2039820,2041510,Julia,"Yeah, yeah"
2049060,2049980,Julia,guitar
2054190,2055150,Jacob,Go ahead
2055920,2056870,Jacob,buckaroo
2057710,2059720,Julia,Remember that strange book you found earlier?
2060280,2067030,Julia,"some very odd looking man came in a few hours back, claimed to belong to him. Honestly, I didn't feel like arguing"
2071630,2073830,Julia,I'm not sure how he even knew it was here
2074520,2077410,Julia,"I don't think he was ever a guest here, I would have remembered"
